Date,WIKI/MSFT - Adj. Open,WIKI/MSFT - Adj. High,WIKI/MSFT - Adj. Low,WIKI/MSFT - Adj. Close,WIKI/MSFT - Adj. Volume
2017-01-03,61.424575201426,61.473487906635,60.774036222147,61.219141839549,20694101.0
2017-01-04,61.121316429131,61.385445037259,60.769144951626,60.945230690378,21339969.0
2017-01-05,60.837622738919,61.297402167883,60.68110208225,60.945230690378,24875968.0
2017-01-06,60.945230690378,61.776746678931,60.690884623292,61.473487906635,19922919.0
2017-01-09,61.395227578301,61.708268891638,61.180011675381,61.277837085799,20382730.0
2017-01-10,61.365879955176,61.698486350597,60.925665608295,61.258272003716,18593004.0
2017-01-11,61.248489462674,61.855007007265,61.072403723922,61.815876843098,21517335.0
2017-01-12,61.688703809555,62.021310204976,60.602841753916,61.248489462674,20968223.0
2017-01-13,61.258272003716,61.49794425924,60.994143395587,61.33653233205,19422310.0
2017-01-17,61.316967249967,61.33653233205,60.68110208225,61.17022913434,20663983.0
2017-01-18,61.307184708925,61.33653233205,60.769144951626,61.140881511214,19670102.0
2017-01-19,60.886535444128,61.61044348122,60.84251400944,60.945230690378,18451655.0
2017-01-20,61.307184708925,61.453922824552,61.013708477671,61.375662496217,30213462.0
2017-01-23,61.33653233205,61.743388213978,61.209359298507,61.590878399137,23097581.0
2017-01-24,61.82565938414,62.349025329876,61.571313317053,62.138700697477,24672940.0
2017-01-25,62.559349962274,62.706088077901,62.070222910185,62.295221354146,24654933.0
2017-01-26,62.725653159985,63.131628613219,62.168048320603,62.872391275612,43554645.0
2017-01-27,63.968035872293,64.476728006466,63.478908820203,64.349554972923,44817972.0
2017-01-30,64.261512103547,64.359337513965,63.390865950827,63.713689805206,31651445.0
2017-01-31,63.449561197078,63.73325488729,62.86260873457,63.2441278352,25270549.0
2017-02-01,62.955542874467,63.214780212075,62.089787992268,62.197395943728,39671528.0
2017-02-02,61.874572089349,62.031092746018,61.385445037259,61.796311761014,45827013.0
2017-02-03,62.119135615394,62.31478643623,61.698486350597,62.295221354146,30301759.0
2017-02-06,62.119135615394,62.265873731021,61.766964137889,62.256091189979,19796360.0
